Branch,Efficiency_Score,Status
Danville Downtown Branch,0.999712,Inefficient
Draper Banking Center Branch,0.999712,Inefficient
Mt. Sterling Branch,0.999712,Inefficient
Osceola Square Branch,0.999712,Inefficient
Walla Walla Branch,0.999712,Inefficient
Cottle and Raleigh Branch,0.999711,Inefficient
Lake Bluff Branch,0.999711,Inefficient
Lathrop Branch,0.999711,Inefficient
Prudenville Branch,0.999711,Inefficient
Stubbs and N 18th Street Branch,0.999711,Inefficient
West San Marcos Branch,0.999711,Inefficient
Westlake Heb Banking Center Branch,0.999711,Inefficient
Breitenstrater Square Branch,0.99971,Inefficient
Camas-Washougal Branch,0.99971,Inefficient
Louisville Ohio Branch,0.99971,Inefficient
Dover Shores Branch,0.999709,Inefficient
Lockport Branch,0.999709,Inefficient
Milwaukie Branch,0.999709,Inefficient
Northlake Banking Center Branch,0.999709,Inefficient
Odessa Westside Branch,0.999709,Inefficient
Spring Mill and 161st Branch,0.999709,Inefficient
Yukon Banking Center Branch,0.999709,Inefficient
Ashwaubenon Branch,0.999708,Inefficient
Forest Hill West Palm Beach Branch,0.999708,Inefficient
Granville Branch,0.999708,Inefficient
Monroe Avenue Branch,0.999708,Inefficient
North Riverside Branch,0.999708,Inefficient
Orlando - Avalon Park Branch,0.999708,Inefficient
Touro Branch,0.999708,Inefficient
Whitney Ranch Branch,0.999708,Inefficient
Arapahoe & 95th Banking Center Branch,0.999707,Inefficient
Coal Mine & Kipling Banking Center Branch,0.999707,Inefficient
Glendale 59th and Beardsley Branch,0.999707,Inefficient
Laauderdale Lakes Branch,0.999707,Inefficient
Tippecanoe Mall Branch,0.999707,Inefficient
Englewood Branch,0.999706,Inefficient
Glenwood-Illinois Banking Ctr. Branch,0.999706,Inefficient
Loveland Madeira Branch,0.999706,Inefficient
Middletown Branch,0.999706,Inefficient
Pike and Acme Branch,0.999706,Inefficient
Riverhead Branch,0.999706,Inefficient
Seatac Branch,0.999706,Inefficient
South Hill Branch,0.999706,Inefficient
Southpark Branch,0.999706,Inefficient
Thousand Oaks Banking Center Branch,0.999706,Inefficient
Uniontown Branch,0.999706,Inefficient
Arlington Branch,0.999705,Inefficient
Boyne City Branch,0.999705,Inefficient
Dixie & Needmore Branch,0.999705,Inefficient
Jacksonville Branch,0.999705,Inefficient
Marwood Banking Center Branch,0.999705,Inefficient
Milford Shopping Center Branch,0.999705,Inefficient
Sharon Greens Branch,0.999705,Inefficient
Wickliffe Branch,0.999705,Inefficient
Wilshire and Vermont Branch,0.999705,Inefficient
Amarillo Branch,0.999704,Inefficient
East Side Branch,0.999704,Inefficient
Frederick Douglass Boulevard Branch,0.999704,Inefficient
Northland Drive Branch,0.999704,Inefficient
Piccadilly Branch,0.999704,Inefficient
Sheridan & I-75 Branch,0.999704,Inefficient
Stargell Ave and Webster St Branch,0.999704,Inefficient
Watertown Branch,0.999704,Inefficient
Wright Patterson Afb Branch,0.999704,Inefficient
Countryside Branch,0.999703,Inefficient
Fair Oaks Blvd and Watt Branch,0.999703,Inefficient
Hamilton Heights Banking Center Branch,0.999703,Inefficient
Parker Branch,0.999703,Inefficient
River Grove Branch,0.999703,Inefficient
Scottsdale & Thunderbird Banking Center Branch,0.999703,Inefficient
Baseline and 51st Avenue Branch,0.999702,Inefficient
Hawthorne & State Branch,0.999702,Inefficient
I 10 and Bunker Hill Bnkg Ctr Branch,0.999702,Inefficient
Salmon Bay Branch,0.999702,Inefficient
Estrella and Van Buren Bkg. Ctr. Branch,0.999701,Inefficient
Nacogdoches Branch,0.999701,Inefficient
Northern Lights Branch,0.999701,Inefficient
South Kissimmee Branch,0.999701,Inefficient
Tacoma Narrows Branch,0.999701,Inefficient
Allouez Branch,0.9997,Inefficient
Happy Valley and Lake Pleasant Rd Branch,0.9997,Inefficient
Haworth Branch,0.9997,Inefficient
Independence Hill Branch,0.9997,Inefficient
Jim Bowie Branch,0.9997,Inefficient
Ramsey North Spruce Branch,0.9997,Inefficient
Tacoma Main Branch,0.9997,Inefficient
Trenton & Mccoll Banking Ctr Branch,0.9997,Inefficient
Troon Banking Center Branch,0.9997,Inefficient
57th & Regal Financial Center Branch,0.999699,Inefficient
Bae Mar Branch,0.999699,Inefficient
Centereach Banking Center Branch,0.999699,Inefficient
Cypresswood Branch,0.999699,Inefficient
East Fordham Branch,0.999699,Inefficient
Homestead Branch,0.999699,Inefficient
Houghton Lake Branch,0.999699,Inefficient
Roosevelt Park Branch,0.999699,Inefficient
Benson Plaza Branch,0.999698,Inefficient
Cave Creek & Beardsley Banking Center Branch,0.999698,Inefficient
Diplomat Plaza Branch,0.999698,Inefficient
Greentree Branch,0.999698,Inefficient
Port St Lucie Rivergate Branch,0.999698,Inefficient
Bixby Heights Branch,0.999697,Inefficient
Downtown Kalamazoo Branch,0.999697,Inefficient
Findlay East Branch,0.999697,Inefficient
Greenfield & 16th Branch,0.999697,Inefficient
North Bend Branch,0.999697,Inefficient
Boughton & James Bnkg Ctr Branch,0.999696,Inefficient
Eastland Winchester Branch,0.999696,Inefficient
Edgewood Branch,0.999696,Inefficient
Greenleaf Branch,0.999696,Inefficient
Island Park Branch,0.999696,Inefficient
Miamisburg Branch,0.999696,Inefficient
San Diego - Clairemont Square Branch,0.999696,Inefficient
Stony Point Rd Branch,0.999696,Inefficient
Upper Arlington Branch,0.999696,Inefficient
Willcox Branch,0.999696,Inefficient
Arkansas Lane Branch,0.999695,Inefficient
Broadway and Houghton Bkg. Ctr. Branch,0.999695,Inefficient
Deerwood Branch,0.999695,Inefficient
New Milford - River Road Branch,0.999695,Inefficient
Polo Branch,0.999695,Inefficient
South Loop West Branch,0.999695,Inefficient
Spring Street Branch,0.999695,Inefficient
Thunderbird and 83rd Avenue Branch,0.999695,Inefficient
West Francis Ave Branch,0.999695,Inefficient
Whitehall Bloomington Branch,0.999695,Inefficient
Willits Branch,0.999695,Inefficient
Bay Mccarty Branch,0.999694,Inefficient
Bend South Branch,0.999694,Inefficient
Bridle Trails Branch,0.999694,Inefficient
Hunts Point Branch,0.999694,Inefficient
Keystone Avenue Branch,0.999694,Inefficient
Maryland and Sahara Branch,0.999694,Inefficient
May Avenue and 37th Branch,0.999694,Inefficient
Randolph Rt 10 Branch,0.999694,Inefficient
Van Dyke Road Branch,0.999694,Inefficient
Yonkers Kimball Ave Branch,0.999694,Inefficient
Cypresswood and State Highway 249 Bkg. Ctr. Branch,0.999693,Inefficient
Jenks Branch,0.999693,Inefficient
Mcloughlin Heights Branch,0.999693,Inefficient
Northshore Plaza Branch,0.999693,Inefficient
Silverton Branch,0.999693,Inefficient
St Petersburg - North Shore Branch,0.999693,Inefficient
Wylie Banking Center Branch,0.999693,Inefficient
Burton Heights Branch,0.999692,Inefficient
Cardinal-Valencia Branch,0.999692,Inefficient
Edgewood Drive Branch,0.999692,Inefficient
Lake Station Branch,0.999692,Inefficient
Lyndon Branch,0.999692,Inefficient
Monona Branch,0.999692,Inefficient
Watts Branch,0.999692,Inefficient
Wekiva Branch,0.999692,Inefficient
West Yakima Branch,0.999692,Inefficient
Green Valley Ranch Banking Ctr. Branch,0.999691,Inefficient
Higley and Chandler Heights Banking Ctr. Branch,0.999691,Inefficient
Iris and Lasselle Branch,0.999691,Inefficient
Logan Smiths Branch,0.999691,Inefficient
Mall At 163rd Branch,0.999691,Inefficient
Port Angeles Branch,0.999691,Inefficient
Port Jervis Branch,0.999691,Inefficient
Richland Avenue Branch,0.999691,Inefficient
Avenue S Branch,0.99969,Inefficient
Eldorado and Dnt Branch,0.99969,Inefficient
Rockaway Avenue Branch,0.99969,Inefficient
Sandy Little Cottonwood Branch,0.99969,Inefficient
Tropicana and Eastern Branch,0.99969,Inefficient
Yonkers Northeast Banking Ctr Branch,0.99969,Inefficient
Breton Meadows Branch,0.999689,Inefficient
Davie Nova Banking Center Branch,0.999689,Inefficient
Deridder Branch,0.999689,Inefficient
Fox Run Branch,0.999689,Inefficient
Frankford & Midway Banking Center Branch,0.999689,Inefficient
Johnson Ranch Branch,0.999689,Inefficient
Kirkland Branch,0.999689,Inefficient
Snellville Scenic and Pharrs Branch,0.999689,Inefficient
Boonton Monroe Branch,0.999688,Inefficient
Canby Branch,0.999688,Inefficient
Eastwind Center Branch,0.999688,Inefficient
Orlando - Metrowest Branch,0.999688,Inefficient
Barrett Creek Branch,0.999687,Inefficient
Card & 21 Mile Banking Center Branch,0.999687,Inefficient
Foothill Village Branch,0.999687,Inefficient
Fox River Grove Branch,0.999687,Inefficient
Heritage Eagle Bend Bkg. Ctr. Branch,0.999687,Inefficient
Islandia Branch,0.999687,Inefficient
Round Lake Beach Banking Center Branch,0.999687,Inefficient
Villa Point Branch,0.999687,Inefficient
West Airport Freeway Branch,0.999687,Inefficient
West Market Warren Branch,0.999687,Inefficient
West Park Branch,0.999687,Inefficient
1600 N. Plano Rd Branch,0.999686,Inefficient
Desert Vista Branch,0.999686,Inefficient
E 7th St and Robert Martinez Branch,0.999686,Inefficient
Federal and Speer Branch,0.999686,Inefficient
Norman Main Branch,0.999686,Inefficient
Norwood Banking Center Branch,0.999686,Inefficient
Pleasant Valley Branch,0.999686,Inefficient
Preston and Eldorado Banking Ctr. Branch,0.999686,Inefficient
Sandy Plains & Shallowford Banking Center,0.999686,Inefficient
Soscol Avenue Branch,0.999686,Inefficient
Sunrise Kolb Branch,0.999686,Inefficient
Watchung Branch,0.999686,Inefficient
Beltway 8/Beechnut Branch,0.999685,Inefficient
Everett Mall Way Branch,0.999685,Inefficient
Hawks Prairie Branch,0.999685,Inefficient
I 45 and Fm 3083 Branch,0.999685,Inefficient
Oxnard - Rose Crossing Branch,0.999685,Inefficient
Pittsburg Branch,0.999685,Inefficient
South Shore Harbor Bnkg Cntr Branch,0.999685,Inefficient
Freeland Branch,0.999684,Inefficient
Medina Buehlers Branch,0.999684,Inefficient
Seventh Ave and 58st Branch,0.999684,Inefficient
Stayton Branch,0.999684,Inefficient
Thrashers Corner Branch,0.999684,Inefficient
Walnut Creek Geary Bnkg Ctr Branch,0.999684,Inefficient
Flemington Circle Branch,0.999683,Inefficient
Hwy 6 and West Branch,0.999683,Inefficient
Meadow Central Branch,0.999683,Inefficient
Midland Park Branch,0.999683,Inefficient
White Center Branch,0.999683,Inefficient
Baldwin Atlantic Branch,0.999682,Inefficient
Girard Branch,0.999682,Inefficient
Totem Hill Branch,0.999682,Inefficient
Estrella and Pebble Creek Branch,0.999681,Inefficient
Happy Valley and 39th Ave Branch,0.999681,Inefficient
Line Avenue Branch,0.999681,Inefficient
Maryland Crossing Branch,0.999681,Inefficient
North Beach Branch,0.999681,Inefficient
Six Corners Banking Center Branch,0.999681,Inefficient
Clavey & US 41 Banking Center Branch,0.99968,Inefficient
Geer Road Branch,0.99968,Inefficient
I-10 East Banking Center Branch,0.99968,Inefficient
Liberty Branch,0.99968,Inefficient
Northeast Branch,0.99968,Inefficient
Anthem Banking Center Branch,0.999679,Inefficient
Dix Hills Branch,0.999679,Inefficient
Grand Avenue Branch,0.999679,Inefficient
Levittown Parkway Branch,0.999679,Inefficient
Lincolnway Branch,0.999679,Inefficient
Miramar Branch,0.999679,Inefficient
Piqua Branch,0.999679,Inefficient
Uptown Banking Center Branch,0.999679,Inefficient
Aurora Farnsworth Bkg. Ctr. Branch,0.999678,Inefficient
Des Moines Branch,0.999678,Inefficient
Lawrence and Kedzie Banking Center Branch,0.999678,Inefficient
Mount Gilead Branch,0.999678,Inefficient
South Farmingdale Branch,0.999678,Inefficient
Broad-Desoto Branch,0.999677,Inefficient
Brookings Branch,0.999677,Inefficient
Dequindre 12 Miles Banking Center Branch,0.999677,Inefficient
Fort Union Branch,0.999677,Inefficient
Miami 199th St Branch,0.999677,Inefficient
Patterson Trailer Branch,0.999677,Inefficient
Renaissance Center Lobby Branch,0.999677,Inefficient
Saginaw Branch,0.999677,Inefficient
Smokey Point Branch,0.999677,Inefficient
Tipp City Branch,0.999677,Inefficient
West 12th Street and S Admas Branch,0.999677,Inefficient
Riverhead Shopping Center Branch,0.999676,Inefficient
Verona Pompton Branch,0.999676,Inefficient
Edgerton Branch,0.999675,Inefficient
Loves Park Branch,0.999675,Inefficient
Marietta - Piedmont Commons Branch,0.999675,Inefficient
Oceanside Branch,0.999675,Inefficient
Scottsdale - Hayden & Chaparral Branch,0.999675,Inefficient
Sheridan and 66th Branch,0.999675,Inefficient
South Orange Branch,0.999675,Inefficient
Thurston Branch,0.999675,Inefficient
Washington and Shepherd Branch,0.999675,Inefficient
Beach & North Tarrant Bnkg Ctr Branh,0.999674,Inefficient
Flushing Branch,0.999674,Inefficient
Forsythe Branch,0.999674,Inefficient
Little Road and I 20 Branch,0.999674,Inefficient
Maricopa Banking Center Branch,0.999674,Inefficient
North Shreveport Branch,0.999674,Inefficient
Oshkosh Main Branch,0.999674,Inefficient
Pearl District Branch,0.999674,Inefficient
Shelbyville Main Branch,0.999674,Inefficient
Tampa - Fletcher Avenue Branch,0.999674,Inefficient
Teaneck Banking Center Branch,0.999674,Inefficient
Commercial & Dixie Branch,0.999673,Inefficient
East State Boulevard Branch,0.999673,Inefficient
Harmony and Corbett Branch,0.999673,Inefficient
Salmon Creek Fm Branch,0.999673,Inefficient
Saw Mill River Road Branch,0.999673,Inefficient
Vandalia Branch,0.999673,Inefficient
Wenatchee Branch,0.999673,Inefficient
Clio Branch,0.999672,Inefficient
Mississippi and Buckley Branch,0.999672,Inefficient
Oswego Branch,0.999672,Inefficient
Balboa & Devonshire Banking Center Branch,0.999671,Inefficient
Beech Grove Banking Center Branch,0.999671,Inefficient
Eastland Hamilton Branch,0.999671,Inefficient
Roxbury Branch,0.999671,Inefficient
Southern and 48th Street Branch,0.999671,Inefficient
Deerfield Symmes Banking Ctr Branch,0.99967,Inefficient
Tillotson Square Branch,0.99967,Inefficient
Bashford Manor Lane Branch,0.999669,Inefficient
Casselberry Branch,0.999669,Inefficient
Dongan Hills Branch,0.999669,Inefficient
Far Rockaway Branch,0.999669,Inefficient
Kanawha City Branch,0.999669,Inefficient
Old Westbury Branch,0.999669,Inefficient
Westport Plaza Branch,0.999669,Inefficient
Old Denton/Frankford Banking Center Branch,0.999668,Inefficient
Richland Branch,0.999668,Inefficient
Sarasota - Fruitville Road Branch,0.999668,Inefficient
Mokena Market Place Branch,0.999667,Inefficient
Calvine Branch,0.999666,Inefficient
Chehalis Branch,0.999666,Inefficient
Haverstraw 9w Branch,0.999666,Inefficient
Printers Row Branch,0.999666,Inefficient
Franklin Branch,0.999665,Inefficient
Horizon Branch,0.999665,Inefficient
Columbia City Banking Center Branch,0.999664,Inefficient
Coney Island Branch,0.999664,Inefficient
Crown Point Drive-Up Branch,0.999664,Inefficient
Madison Ridge Branch,0.999664,Inefficient
Metropolitan Airport Branch,0.999664,Inefficient
South Ontario Branch,0.999664,Inefficient
Burlington Chestnut Branch,0.999663,Inefficient
Church Ranch Banking Center Branch,0.999663,Inefficient
Bergenline Branch,0.999662,Inefficient
Highland West Monroe Branch,0.999662,Inefficient
Robbins Road Branch,0.999662,Inefficient
Yaphank Branch,0.999662,Inefficient
Crater Lake Plaza Branch,0.999661,Inefficient
Jackson Banking Center Branch,0.999661,Inefficient
Miami - Miller West Branch,0.999661,Inefficient
Northpointe Plaza Branch,0.999661,Inefficient
Skyline & US Highway 89 Banking Center Branch,0.999661,Inefficient
West Meadows Banking Center Branch,0.999661,Inefficient
Bexley Banking Center Branch,0.99966,Inefficient
East Bay Branch,0.99966,Inefficient
Fort Collins - Mulberry & Lemay Brh,0.99966,Inefficient
Hammond Branch,0.99966,Inefficient
Haynes Bridge and Old Alabama Branch,0.99966,Inefficient
Heb Four Points Fsc Branch,0.99966,Inefficient
Lake Sammamish Branch,0.99966,Inefficient
Neptune Banking Center Branch,0.99966,Inefficient
Sherwood Forest Branch,0.99966,Inefficient
Vancouver Mall Branch,0.99966,Inefficient
Debbie and Matlock Banking Ctr. Branch,0.999659,Inefficient
Eastlake-Vine Branch,0.999659,Inefficient
Land O Lakes - Collier Branch,0.999659,Inefficient
Milan Branch,0.999659,Inefficient
New Paltz Branch,0.999659,Inefficient
Waynedale Branch,0.999659,Inefficient
73rd Avenue Branch,0.999658,Inefficient
Allison Lane Branch,0.999658,Inefficient
Hopewell Banking Center Branch,0.999658,Inefficient
Lake Oswego Branch,0.999658,Inefficient
Little York Branch,0.999658,Inefficient
Oak Cliff Branch,0.999658,Inefficient
Oak Hill Branch,0.999658,Inefficient
Rolling Meadows Banking Center Branch,0.999658,Inefficient
Shively Banking Center Branch,0.999658,Inefficient
Sugar Cove Branch,0.999658,Inefficient
The Romany Road Branch,0.999658,Inefficient
Woodmere Branch,0.999658,Inefficient
Alsip Banking Center Branch,0.999657,Inefficient
El Camino Real and Walnut Branch,0.999657,Inefficient
Fairborn Branch,0.999657,Inefficient
Lynwood Branch,0.999657,Inefficient
North Babylon Branch,0.999657,Inefficient
Avondale Branch,0.999656,Inefficient
Craig Ranch Branch,0.999656,Inefficient
Englewood Taywood Branch,0.999656,Inefficient
Jefferson Square Branch,0.999656,Inefficient
Park Forest Branch,0.999656,Inefficient
Signal Butte & Baseline Bkg Ctr Branch,0.999656,Inefficient
South Freeport Branch,0.999656,Inefficient
Bentley Branch,0.999655,Inefficient
Fall Creek Branch,0.999655,Inefficient
Gates Banking Center Branch,0.999655,Inefficient
Grants Pass Branch,0.999655,Inefficient
Iris and 28th St Branch,0.999655,Inefficient
Sacramento - Natomas Branch,0.999655,Inefficient
Seven Hills Tower Branch,0.999655,Inefficient
Sunrise Hwy and Grand Branch,0.999655,Inefficient
Grand Haven Main Branch,0.999654,Inefficient
Ukiah Branch,0.999654,Inefficient
Warren-Wyoming Branch,0.999654,Inefficient
Woodstock Branch,0.999654,Inefficient
Alpine Lamoreaux Branch,0.999653,Inefficient
Cheyenne Banking Center Branch,0.999653,Inefficient
Ferndale and Northwest Highway Branch,0.999653,Inefficient
Georgetown Branch,0.999653,Inefficient
Jordan Landing Banking Center Branch,0.999653,Inefficient
Mid-City Branch,0.999653,Inefficient
Bellaire and Synott Branch,0.999652,Inefficient
Cordata Branch,0.999652,Inefficient
Jones and Cypress N Houston Branch,0.999652,Inefficient
Richmond Downtown Branch,0.999652,Inefficient
Rockledge Branch,0.999652,Inefficient
Sr 66 and Dalrock Branch,0.999652,Inefficient
Bee Cave & 360 Banking Center Branch,0.999651,Inefficient
Bradenton - West Cortez Branch,0.999651,Inefficient
Champion Branch,0.999651,Inefficient
Glenwood Branch,0.999651,Inefficient
Greenlawn & Pulaski Bnkg Ctr Branch,0.999651,Inefficient
Northwest Highway Harlem Banking Center Branch,0.999651,Inefficient
South Bossier Branch,0.999651,Inefficient
Southcenter Branch,0.999651,Inefficient
Alta View Branch,0.99965,Inefficient
Division Branch,0.99965,Inefficient
Higley & Pecos Banking Center Branch,0.99965,Inefficient
Oceanside Branch,0.99965,Inefficient
Poinsettia Village Bnkg Ctr Branch,0.99965,Inefficient
St. Albans Branch,0.99965,Inefficient
Layton Branch,0.999649,Inefficient
Patchogue Branch,0.999649,Inefficient
Stassney Branch,0.999649,Inefficient
East Rockaway Banking Center Branch,0.999648,Inefficient
Miramar Commons Branch,0.999648,Inefficient
Patterson Market Branch,0.999648,Inefficient
Renner and Custer Branch,0.999648,Inefficient
Rockford North Main Branch,0.999648,Inefficient
Spokane Branch,0.999648,Inefficient
Spring Creek & Coit Banking Center Branch,0.999648,Inefficient
Elliot and Kyrene Banking Center Branch,0.999647,Inefficient
Everett Branch,0.999647,Inefficient
Fishkill and Merritt Blvd Branch,0.999647,Inefficient
Green Mountain Banking Center Branch,0.999647,Inefficient
Lake Stevens Branch,0.999647,Inefficient
Southgate Pettit Branch,0.999647,Inefficient
Troy Branch,0.999647,Inefficient
Delano Branch,0.999646,Inefficient
East Rochester Fairport Road Branch,0.999646,Inefficient
Federal Branch,0.999646,Inefficient
Georgetown and 56th Branch,0.999646,Inefficient
Glendale Redwood Branch,0.999646,Inefficient
Kent Branch,0.999646,Inefficient
Lafayette Road Banking Center Branch,0.999646,Inefficient
Lawrenceville Shoprite Branch,0.999646,Inefficient
Medford Branch,0.999646,Inefficient
Pataskala Branch,0.999646,Inefficient
Wadsworth and 88th Branch,0.999646,Inefficient
Colorado & 104th Banking Ctr Branch,0.999645,Inefficient
Morris Plains - Route 10 Branch,0.999645,Inefficient
Banning Branch,0.999644,Inefficient
Buffalo Branch,0.999644,Inefficient
Duluth Reynolds Crossing Branch,0.999644,Inefficient
Fort Williamsburg Branch,0.999644,Inefficient
Stapleton Branch,0.999644,Inefficient
Walker and I 240 Branch,0.999644,Inefficient
1870 Aloma Branch,0.999643,Inefficient
Longwood Plaza Branch,0.999643,Inefficient
Rainier Branch,0.999643,Inefficient
Roseville - Foothills Branch,0.999643,Inefficient
University-Thibodaux Branch,0.999643,Inefficient
Beaverton Town Square Branch,0.999642,Inefficient
Boulder Hwy and Lake Mead Branch,0.999642,Inefficient
Lawrence Franklin Branch,0.999642,Inefficient
North Red Bank Banking Center Branch,0.999642,Inefficient
Roswell - Mansell - Branch,0.999642,Inefficient
San Leandro - Greenhouse Branch,0.999642,Inefficient
Tremont Branch,0.999642,Inefficient
Walnut Creek - Ygnacio Plaza Branch,0.999642,Inefficient
Burlingame 44th Branch,0.999641,Inefficient
Congress Ave Branch,0.999641,Inefficient
Freehold Branch,0.999641,Inefficient
Grand River-Fenkell Branch,0.999641,Inefficient
Norton Branch,0.999641,Inefficient
Sarasota - Beneva Village Branch,0.999641,Inefficient
South Carrier Pkwy and I 20 Branch,0.999641,Inefficient
West Bay Branch,0.999641,Inefficient
Baptist Rd and I 25 Branch,0.99964,Inefficient
Frankford Crossing Branch,0.99964,Inefficient
Glenville Branch,0.99964,Inefficient
Oak Creek Irvine Branch,0.99964,Inefficient
Saint Cloud Branch,0.99964,Inefficient
San Jose - Bernal Branch,0.99964,Inefficient
Watauga Branch,0.99964,Inefficient
2nd and Capitol Branch,0.999639,Inefficient
Central Avenue Branch,0.999639,Inefficient
Elgin Branch,0.999639,Inefficient
Grasslands Branch,0.999639,Inefficient
Michigan & Canton Center Banking Center Branch,0.999639,Inefficient
North Meridian Street Branch,0.999639,Inefficient
Pleasantville Branch,0.999639,Inefficient
Thomas and 24th Street Branch,0.999639,Inefficient
Tualatin Branch,0.999639,Inefficient
Buffalo Gap Branch,0.999638,Inefficient
Lake Geneva Branch,0.999638,Inefficient
Lovers and Innwood Branch,0.999638,Inefficient
Route 17k Branch,0.999638,Inefficient
Yorkville Banking Center Branch,0.999638,Inefficient
Avondale Westwind Plaza Branch,0.999637,Inefficient
Fondren South Branch,0.999637,Inefficient
Fullerton and Wood Banking Center Branch,0.999637,Inefficient
Hanford Branch,0.999637,Inefficient
Pinetop Branch,0.999637,Inefficient
Western & Addison Branch,0.999637,Inefficient
Wilmont and 22nd Street Branch,0.999637,Inefficient
Alden Manor Branch,0.999636,Inefficient
Apple Valley - Highway 18 Branch,0.999636,Inefficient
Broomfield Branch,0.999636,Inefficient
Dixie Village 2710 S Orange Ave Bran,0.999636,Inefficient
Easton Town Center Bnkg Ctr Branch,0.999636,Inefficient
Guadalupe Branch,0.999636,Inefficient
Harding Highway Branch,0.999636,Inefficient
Little Elm Banking Center Branch,0.999636,Inefficient
Manchester Branch,0.999636,Inefficient
Pine Hills Branch,0.999636,Inefficient
San Francisco - Fulton Branch,0.999636,Inefficient
Southlake Mall Banking Center Branch,0.999636,Inefficient
West Salem Branch,0.999636,Inefficient
Moline Main Branch,0.999635,Inefficient
Beardsley and 83rd Ave Branch,0.999634,Inefficient
Boyle Heights Branch,0.999634,Inefficient
By-Pass Plaza Branch,0.999634,Inefficient
Camp Verde Branch,0.999634,Inefficient
Chapmanville Branch,0.999634,Inefficient
Highland and Sterling Branch,0.999634,Inefficient
Lakeline Banking Center Branch,0.999634,Inefficient
South Main Branch,0.999634,Inefficient
Sugarcreek Banking Center Branch,0.999634,Inefficient
Broadway Branch,0.999633,Inefficient
Forest Park Branch,0.999633,Inefficient
Harrison Branch,0.999633,Inefficient
Seven Mile Winthrop Branch,0.999633,Inefficient
Tracy - Grant Line Branch,0.999633,Inefficient
Windsor Branch,0.999633,Inefficient
Canal Winchester Branch,0.999632,Inefficient
Forney Branch,0.999632,Inefficient
Glenview Jewel Branch,0.999632,Inefficient
Irving Park & Sheridan Banking Branch,0.999632,Inefficient
Jamesburg Banking Center Branch,0.999632,Inefficient
Kennewick Branch,0.999632,Inefficient
Baytown Branch,0.999631,Inefficient
De Zavala and I 10 Branch,0.999631,Inefficient
Durham Center Branch,0.999631,Inefficient
Kimball Branch,0.999631,Inefficient
Pfennig & 685 Banking Center Branch,0.999631,Inefficient
South Charleston Branch,0.999631,Inefficient
Vashon Island Branch,0.999631,Inefficient
Apple Valley Center Branch,0.99963,Inefficient
Eureka Branch,0.99963,Inefficient
Hilliard Rome & Trabue Banking Center Branch,0.99963,Inefficient
Lompoc Branch,0.99963,Inefficient
Olympia Branch,0.99963,Inefficient
Southport Branch,0.99963,Inefficient
Telegraph & Whittier Banking Center Branch,0.99963,Inefficient
Wiinter Park Downtown Branch,0.99963,Inefficient
Bot Ranch Branch,0.999629,Inefficient
Paseo Verde Branch,0.999629,Inefficient
Saddle Brook Branch,0.999629,Inefficient
Saratoga Branch,0.999629,Inefficient
Addison Banking Center Branch,0.999628,Inefficient
City Heights Branch,0.999628,Inefficient
Jeffery Manor Branch,0.999628,Inefficient
Richmond Rosenberg Bnkg Cntr Branch,0.999628,Inefficient
Roger Oracle Roads Branch,0.999628,Inefficient
Roscommon Branch,0.999628,Inefficient
Willoughby Hills Branch,0.999628,Inefficient
Alderwood Branch,0.999627,Inefficient
Bartlett Branch,0.999627,Inefficient
Country Club and Southern Branch,0.999627,Inefficient
Fry & Morton Bkg. Ctr. Branch,0.999627,Inefficient
Ryan Street Branch,0.999627,Inefficient
Butler Branch,0.999626,Inefficient
Ocoee Branch,0.999626,Inefficient
Oregon City Hilltop Branch,0.999626,Inefficient
Silverdale Way Branch,0.999626,Inefficient
Woodland Branch,0.999626,Inefficient
Apopka Branch,0.999625,Inefficient
Avery Ranch & Parmer Ln Bnkg Ctr Brh,0.999625,Inefficient
Central Point Branch,0.999625,Inefficient
Plaza Volente Branch,0.999625,Inefficient
Rufe Snow Branch,0.999625,Inefficient
Steeplechase Branch,0.999625,Inefficient
Winter Garden Branch,0.999625,Inefficient
Lincoln Mall Banking Center Branch,0.999624,Inefficient
Calumet City Branch,0.999623,Inefficient
Chula Vista-Eastlake Terraces Branch,0.999623,Inefficient
Hampton Rt 206 Branch,0.999623,Inefficient
Irondequoit West Branch,0.999623,Inefficient
James Center Branch,0.999623,Inefficient
Baybrook Square Branch,0.999622,Inefficient
Covington Branch,0.999622,Inefficient
Hessville Branch,0.999622,Inefficient
International & Loop 20 Banking Center Branch,0.999622,Inefficient
Breiel Branch,0.999621,Inefficient
Cable Road Branch,0.999621,Inefficient
Carpentersville Banking Cntr Branch,0.999621,Inefficient
Falcon Ridge Branch,0.999621,Inefficient
Fox Lake Banking Center Branch,0.999621,Inefficient
Greenwich Branch,0.999621,Inefficient
Royal-Bienville Branch,0.999621,Inefficient
Saticoy Branch,0.999621,Inefficient
Schaumburg Barrington Road Banking Branch,0.999621,Inefficient
Ditmars Blvd and 31st Branch,0.99962,Inefficient
Northside Branch,0.99962,Inefficient
Arlington Avenue Branch,0.999619,Inefficient
Carefree & 1-17 Banking Ctr Branch,0.999619,Inefficient
Fenton Branch,0.999619,Inefficient
Highland Station Branch,0.999619,Inefficient
Highway 2 Branch,0.999619,Inefficient
Mission and Ocean Branch,0.999619,Inefficient
Moss Street Branch,0.999619,Inefficient
Riverside Branch,0.999619,Inefficient
Town Square Bloomfield Branch,0.999619,Inefficient
