Branch,Efficiency_Score,Status
St. Helen Road Branch,0.999882,Inefficient
Linden Branch,0.999881,Inefficient
Tacoma Stevens Branch,0.999881,Inefficient
Eastern Market Branch,0.99988,Inefficient
Royal West Branch,0.99988,Inefficient
Dublin Kroger Branch,0.999879,Inefficient
Saratoga Springs Branch,0.999879,Inefficient
Walzem & Eaglecrest Bnkg Ctr Branch,0.999879,Inefficient
Easton Employee Center Banking Center Branch,0.999878,Inefficient
Heb Brodie Fsc Branch,0.999878,Inefficient
Idaho Falls Fred Meyer Branch,0.999877,Inefficient
Main and Mchard Branch,0.999876,Inefficient
Reading Road Branch,0.999876,Inefficient
Skillman and Larmanda Branch,0.999876,Inefficient
Deep Lake and Rt 173 Branch,0.999875,Inefficient
Dequincy Branch,0.999875,Inefficient
Northside Lake Charles Branch,0.999875,Inefficient
Tioga Branch,0.999875,Inefficient
Commercial Ave Branch,0.999874,Inefficient
French Valley Stater Bros Branch,0.999874,Inefficient
North Salem Branch,0.999874,Inefficient
Northville Kroger Branch,0.999874,Inefficient
Summit Parkway Branch,0.999874,Inefficient
Bridgeport West Side Branch,0.999873,Inefficient
Taylor Branch,0.999873,Inefficient
W Ashlan Ave Branch,0.999873,Inefficient
Back Of The Yards Banking Center Branch,0.999872,Inefficient
Harrison and 22nd Frys Branch,0.999872,Inefficient
North Side Dayton Branch,0.999872,Inefficient
Thunderbird and 57th Frys Branch,0.999872,Inefficient
University Heights Branch,0.999872,Inefficient
Willow Creek Frys Branch,0.999872,Inefficient
LA Porte Branch,0.999871,Inefficient
Spencer and Shaver Branch,0.999871,Inefficient
Loop 323 and Erwin Branch,0.99987,Inefficient
Perry & Hull Branch,0.99987,Inefficient
Shadeland Avenue Branch,0.99987,Inefficient
Cactus and 75th Ave Frys Branch,0.999869,Inefficient
East Kings Canyon Branch,0.999869,Inefficient
South Sanford Branch,0.999869,Inefficient
Vyse Avenue Branch,0.999869,Inefficient
Broussard Albertsons Branch,0.999868,Inefficient
Chicago - 117th & Halsted Branch,0.999868,Inefficient
Lower Buckeye and 99th Ave Branch,0.999868,Inefficient
Southfield Albertson's Branch,0.999868,Inefficient
Briargate Albertons Branch,0.999867,Inefficient
Bridgeport Dixie Highway Branch,0.999867,Inefficient
Bristol Branch,0.999866,Inefficient
Lavalette Branch,0.999866,Inefficient
Fontana Stater Bros Bnkg Ctr Branch,0.999865,Inefficient
Burlington Wildcat Branch,0.999864,Inefficient
Montebello & 19th Ave Bnk Ctr Branch,0.999864,Inefficient
Tully Road Branch,0.999864,Inefficient
Garden Of The Gods Albertsons Branch,0.999863,Inefficient
Grays Harbor Branch,0.999863,Inefficient
Greenwood Road Branch,0.999863,Inefficient
Mesa Ridge & Fountain Mesa Banking Center Branch,0.999862,Inefficient
Southgate Northfield Branch,0.999862,Inefficient
Stadium Corners Branch,0.999862,Inefficient
Wadsworth & 52nd Banking Ctr Branch,0.999862,Inefficient
West Illinois Branch,0.999862,Inefficient
Abbeville Branch,0.999861,Inefficient
Broadway and Southtown Branch,0.999861,Inefficient
Cedar Branch,0.999861,Inefficient
College Road Albertsons Branch,0.999861,Inefficient
Crestway and 78 Branch,0.999861,Inefficient
Newcomerstown Branch,0.999861,Inefficient
State Capitol Branch,0.999861,Inefficient
Twin Falls Fred Meyer Branch,0.999861,Inefficient
225th & Broadway Branch,0.99986,Inefficient
Heb Hancock Fsc Branch,0.99986,Inefficient
Marbach Branch,0.99986,Inefficient
Southeastern Avenue Branch,0.99986,Inefficient
Spencer Hwy and Red Bluff Branch,0.99986,Inefficient
Beltway 8 and Fort Bend Branch,0.999859,Inefficient
Yuma and Cotton Branch,0.999859,Inefficient
Denver Villa Monac0 Branch,0.999858,Inefficient
Orange - Main Street Branch,0.999857,Inefficient
West Point Branch,0.999857,Inefficient
Chicago - Belmont Plaza Branch,0.999856,Inefficient
Lake June Banking Center Branch,0.999856,Inefficient
NW Military and 1604 Branch,0.999856,Inefficient
Nichols Park Branch,0.999856,Inefficient
Yonker Station Banking Center Branch,0.999856,Inefficient
Forest Park Cincinnati Branch,0.999855,Inefficient
Maple Coolidge Kroger Branch,0.999855,Inefficient
North Woods Branch,0.999855,Inefficient
Sayville Plaza Banking Center Branch,0.999855,Inefficient
Woodforest and Uvalde Branch,0.999855,Inefficient
Mccart Westcreek Branch,0.999854,Inefficient
South Dobson Rd and Main Branch,0.999854,Inefficient
Highland Oaks Banking Center Branch,0.999853,Inefficient
Shasta Way Fred Meyer Branch,0.999853,Inefficient
Headland Dr and Greenbrier Branch,0.999852,Inefficient
Wyandanch Compare Foods Branch,0.999852,Inefficient
Belfair Branch,0.999851,Inefficient
Lakeland - Plantation Square Branch,0.999851,Inefficient
Oro Valley Frys Branch,0.999851,Inefficient
Potranco & Rousseau Bnkg Ctr Branch,0.999851,Inefficient
Sunset Ave and Merganser Branch,0.999851,Inefficient
Tolleston Branch,0.999851,Inefficient
Bashor Road Branch,0.99985,Inefficient
Byron Branch,0.99985,Inefficient
Chino Hills Banking Center Branch,0.99985,Inefficient
Holiday Branch,0.999849,Inefficient
New Franken Branch,0.999849,Inefficient
Oakland Township Kroger Branch,0.999849,Inefficient
Sussex Branch,0.999849,Inefficient
West Eight Mile Road-Lindsay Branch,0.999849,Inefficient
Atlanta - Skye Mill Road Branch,0.999848,Inefficient
Country Club Hills Bnkg Cntr Branch,0.999848,Inefficient
Sheridan and 64th Branch,0.999848,Inefficient
Austin Highway & Harry Wurzback Banking Center,0.999847,Inefficient
Bremerton Branch,0.999847,Inefficient
Charleston and Fremont Branch,0.999847,Inefficient
Happy Valley and 67th Av Frys Branch,0.999847,Inefficient
Hiram Pavilion Branch,0.999847,Inefficient
Parkside Branch,0.999847,Inefficient
Southeast Oak Cliff Branch,0.999847,Inefficient
Vassar Branch,0.999847,Inefficient
Greenlawn and Hwy 45 Branch,0.999846,Inefficient
Holly Springs Branch,0.999846,Inefficient
Lower Buckeye and 75th Avenue Branch,0.999846,Inefficient
North Broadway and Sheridan Branch,0.999846,Inefficient
Hemlock Branch,0.999845,Inefficient
Orchard and Mayfield Branch,0.999845,Inefficient
White Plains Branch,0.999845,Inefficient
Colegate Branch,0.999844,Inefficient
Gary Main Branch,0.999844,Inefficient
Hairston Crossing Branch,0.999844,Inefficient
Middletown Fairgrounds Plaza Branch,0.999844,Inefficient
Mountain Home Branch,0.999844,Inefficient
North Hills Sepulveda Branch,0.999844,Inefficient
Pico Rivera Washington Street Banking Center,0.999844,Inefficient
Ball Branch,0.999842,Inefficient
Broadway and Stockton Branch,0.999842,Inefficient
Florence & I-10 Banking Center Branch,0.999842,Inefficient
Heb Parmer Fsc Branch,0.999842,Inefficient
Middletown Shoprite Branch,0.999842,Inefficient
Pleasant Run & Bluegrove Banking Center Branch,0.999842,Inefficient
Tatum & Bell Frys Branch,0.999842,Inefficient
University Place Branch,0.999842,Inefficient
West Michigan Street Branch,0.999842,Inefficient
